#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	2.17, -7.67, -12.03 	11.01, -3.14, -11.72 	0.00, 30.00 	12,55,25,635		0.00,0.00	0,0 	0
0       	2.28, -7.35, -12.05 	11.04, -3.41, -11.66 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.31, -7.17, -12.07 	11.14, -3.56, -11.65 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.34, -7.14, -12.07 	11.27, -3.62, -11.69 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.33, -7.10, -12.07 	11.47, -3.69, -11.72 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.22, -7.05, -12.08 	11.62, -3.90, -11.72 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.99, -6.93, -12.13 	11.53, -4.25, -11.71 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.83, -6.54, -12.08 	11.61, -4.56, -11.72 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.11, -6.23, -12.01 	11.62, -4.74, -11.83 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.23, -6.24, -11.95 	11.70, -4.83, -11.96 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.81, -6.31, -11.81 	11.77, -4.95, -12.08 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.36, -6.48, -11.63 	11.88, -5.19, -12.05 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.19, -6.63, -11.50 	11.80, -5.42, -12.02 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.24, -6.67, -11.52 	11.77, -5.61, -11.98 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	1.59, -6.71, -11.56 	11.67, -5.72, -11.95 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	2.25, -6.69, -11.60 	11.53, -5.85, -11.90 	0.00, 30.00 	12,55,25,636		inf,inf	0,0 	0
0       	3.29, -6.70, -11.65 	11.54, -5.90, -11.88 	0.00, 30.00 	12,55,25,637		inf,inf	0,0 	0
