#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-0.70, -0.57, -7.08 	-37.07, -14.19, -5.93 	0.00, 10.00 	13,29,12,461		0.00,0.00	0,0 	0
0       	-0.65, -0.55, -7.10 	-37.06, -14.18, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.61, -0.54, -7.11 	-37.09, -14.19, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.63, -0.56, -7.09 	-37.08, -14.19, -5.94 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.63, -0.56, -7.08 	-37.08, -14.19, -5.94 	0.00, 10.00 	13,29,12,461		-nan,-nan	0,0 	0
0       	-0.62, -0.56, -7.08 	-37.07, -14.22, -5.94 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.62, -0.57, -7.07 	-37.09, -14.22, -5.94 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.60, -0.56, -7.06 	-37.11, -14.22, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.61, -0.57, -7.08 	-37.09, -14.22, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.56, -0.55, -7.08 	-37.07, -14.22, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.56, -0.54, -7.10 	-37.08, -14.20, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.55, -0.53, -7.12 	-37.07, -14.20, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.53, -0.55, -7.11 	-37.07, -14.20, -5.96 	0.00, 10.00 	13,29,12,461		inf,-nan	0,0 	0
0       	-0.54, -0.57, -7.11 	-37.08, -14.19, -5.95 	0.00, 10.00 	13,29,12,461		inf,inf	0,0 	0
0       	-0.48, -0.57, -7.11 	-37.09, -14.20, -5.93 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.51, -0.59, -7.08 	-37.08, -14.20, -5.92 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.53, -0.61, -7.04 	-37.07, -14.20, -5.93 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.61, -0.67, -7.01 	-37.05, -14.23, -5.94 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.70, -0.65, -7.01 	-37.08, -14.19, -5.93 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.71, -0.65, -7.01 	-37.09, -14.22, -5.93 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.63, -0.63, -7.04 	-37.07, -14.23, -5.91 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.56, -0.60, -7.07 	-37.06, -14.25, -5.92 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.47, -0.58, -7.10 	-37.04, -14.24, -5.92 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.46, -0.57, -7.10 	-37.04, -14.22, -5.94 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.42, -0.58, -7.09 	-37.04, -14.23, -5.94 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.45, -0.58, -7.09 	-37.09, -14.25, -5.94 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.45, -0.59, -7.08 	-37.10, -14.24, -5.94 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.49, -0.61, -7.07 	-37.12, -14.29, -5.92 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.57, -0.61, -7.04 	-37.11, -14.28, -5.90 	0.00, 10.00 	13,29,12,462		inf,inf	0,0 	0
0       	-0.60, -0.63, -7.05 	-37.11, -14.28, -5.90 	0.00, 10.00 	13,29,12,462		inf,-nan	0,0 	0
0       	-0.60, -0.65, -7.04 	-37.09, -14.26, -5.89 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.58, -0.63, -7.05 	-37.09, -14.27, -5.90 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.53, -0.61, -7.08 	-37.11, -14.24, -5.91 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.49, -0.60, -7.11 	-37.11, -14.26, -5.92 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.44, -0.64, -7.10 	-37.15, -14.24, -5.90 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.44, -0.65, -7.07 	-37.11, -14.24, -5.91 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.47, -0.68, -7.03 	-37.12, -14.27, -5.88 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.54, -0.68, -6.99 	-37.16, -14.26, -5.89 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.59, -0.70, -6.96 	-37.12, -14.29, -5.88 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.61, -0.69, -6.97 	-37.11, -14.31, -5.89 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.56, -0.70, -6.98 	-37.12, -14.28, -5.89 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.56, -0.69, -6.99 	-37.11, -14.26, -5.90 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.54, -0.70, -6.98 	-37.12, -14.24, -5.90 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.56, -0.70, -6.99 	-37.13, -14.23, -5.91 	0.00, 10.00 	13,29,12,463		inf,inf	0,0 	0
0       	-0.56, -0.70, -6.98 	-37.13, -14.24, -5.91 	0.00, 10.00 	13,29,12,464		-nan,inf	0,0 	0
0       	-0.56, -0.70, -6.99 	-37.15, -14.24, -5.90 	0.00, 10.00 	13,29,12,464		-nan,inf	0,0 	0
0       	-0.53, -0.70, -6.99 	-37.15, -14.24, -5.88 	0.00, 10.00 	13,29,12,464		inf,-nan	0,0 	0
0       	-0.54, -0.70, -6.99 	-37.16, -14.24, -5.89 	0.00, 10.00 	13,29,12,464		inf,inf	0,0 	0
0       	-0.56, -0.69, -7.00 	-37.18, -14.23, -5.88 	0.00, 10.00 	13,29,12,464		inf,inf	0,0 	0
0       	-0.56, -0.69, -6.99 	-37.18, -14.24, -5.88 	0.00, 10.00 	13,29,12,464		-nan,inf	0,0 	0
