#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	0.70, 3.61, -10.65 	15.50, -23.95, -9.10 	0.00, 30.00 	12,56,18,505		0.00,0.00	0,0 	0
0       	0.91, 3.36, -10.71 	15.09, -23.99, -9.22 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	1.12, 3.15, -10.78 	14.87, -24.00, -9.33 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	1.24, 2.81, -10.79 	14.64, -23.94, -9.47 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	1.42, 2.39, -10.80 	14.36, -23.88, -9.58 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	1.62, 1.99, -10.87 	13.85, -23.94, -9.66 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	1.70, 1.72, -11.03 	13.09, -24.20, -9.69 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	1.86, 1.36, -11.16 	11.82, -24.31, -9.81 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	2.07, 0.89, -11.27 	10.31, -24.01, -9.94 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	2.47, 0.44, -11.42 	8.84, -22.99, -10.31 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	2.78, 0.05, -11.59 	7.86, -21.26, -10.94 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	3.09, -0.45, -11.68 	6.85, -19.57, -11.59 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	3.53, -0.88, -11.80 	5.64, -18.35, -11.98 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	4.51, -0.86, -12.13 	4.21, -17.46, -12.08 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	5.97, -0.57, -12.63 	2.92, -16.81, -12.06 	0.00, 30.00 	12,56,18,505		inf,inf	0,0 	0
0       	6.75, -1.10, -12.98 	2.02, -16.03, -12.05 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	5.54, -3.30, -12.75 	1.71, -14.66, -12.29 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	4.09, -5.60, -12.56 	1.85, -12.65, -12.81 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	3.80, -6.73, -12.76 	1.64, -10.96, -13.25 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	3.72, -7.57, -13.16 	0.60, -10.20, -13.35 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	3.54, -8.72, -13.62 	-0.72, -9.96, -13.18 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	3.12, -9.93, -13.95 	-1.68, -9.61, -12.94 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	1.27, -12.09, -13.33 	-2.50, -9.16, -12.69 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
0       	-1.15, -14.43, -12.37 	-3.11, -8.69, -12.47 	0.00, 30.00 	12,56,18,506		inf,inf	0,0 	0
