#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	-17.43, -15.74 	-35.74, 143.20 	4.76, -2.75
32      	-17.43, -15.74 	-35.74, 143.16 	4.76, -2.75
48      	-17.40, -15.71 	-35.74, 143.16 	4.76, -2.75
64      	-17.40, -15.71 	-35.74, 142.95 	4.76, -2.75
80      	-17.39, -15.83 	-35.73, 143.02 	4.76, -2.75
95      	-17.42, -15.82 	38.43, 600.47 	4.76, -2.75
110     	-17.42, -15.82 	-35.78, 143.30 	4.76, -2.75
193     	-17.40, -15.71 	-35.77, 142.92 	4.76, -2.75
209     	-17.43, -15.66 	-35.79, 143.00 	4.76, -2.75
225     	-17.44, -15.66 	38.39, 600.65 	4.76, -2.75
241     	-17.43, -15.66 	-35.73, 143.31 	4.76, -2.75
319     	-17.43, -15.66 	-35.75, 143.19 	4.76, -2.75
334     	-17.43, -15.66 	-35.75, 143.19 	4.76, -2.75
349     	-17.40, -15.67 	-35.82, 142.93 	4.76, -2.75
364     	-17.40, -15.67 	-35.80, 143.03 	4.76, -2.75
379     	-17.40, -15.67 	-35.82, 143.00 	4.76, -2.75
459     	-17.40, -15.67 	-35.89, 143.22 	4.76, -2.75
475     	-17.42, -15.67 	-35.90, 143.22 	4.76, -2.75
491     	-17.42, -15.67 	-35.92, 143.20 	4.76, -2.75
507     	-17.42, -15.67 	-35.87, 142.81 	4.76, -2.75
584     	-17.42, -15.67 	-35.85, 142.79 	4.76, -2.75
599     	-17.45, -15.66 	-35.81, 142.63 	4.76, -2.75
614     	-17.42, -15.67 	-35.81, 142.63 	4.76, -2.75
629     	-17.40, -15.67 	-35.80, 142.54 	4.76, -2.75
644     	-17.40, -15.67 	-35.80, 142.54 	4.76, -2.75
725     	-17.42, -15.67 	-35.82, 143.16 	4.76, -2.75
741     	-17.42, -15.67 	-35.85, 143.09 	4.76, -2.75
757     	-17.40, -15.75 	-35.85, 143.13 	4.76, -2.75
773     	-17.41, -15.63 	-35.83, 142.92 	4.76, -2.75
850     	-17.45, -15.73 	-35.78, 143.17 	4.76, -2.75
865     	-17.43, -15.63 	-35.84, 143.26 	4.76, -2.75
880     	-17.46, -15.66 	-35.83, 143.22 	4.76, -2.75
939     	-17.34, -15.92 	-35.76, 142.82 	4.76, -2.75
958     	-17.27, -16.08 	-35.78, 143.06 	4.76, -2.75
973     	-17.24, -15.96 	-35.78, 143.06 	4.76, -2.75
988     	-17.25, -16.05 	-35.69, 142.85 	4.76, -2.75
1003    	-17.22, -16.05 	-35.69, 142.91 	4.76, -2.75
1079    	-16.92, -15.99 	-35.75, 143.05 	4.76, -2.75
1095    	-16.84, -15.87 	-35.74, 142.97 	4.76, -2.75
1111    	-15.89, -15.84 	-35.72, 142.90 	4.76, -2.75
1127    	-15.75, -15.65 	-35.73, 142.79 	4.76, -2.75
1206    	-15.47, -15.80 	-35.76, 142.71 	4.76, -2.75
1221    	-15.37, -15.74 	-35.78, 142.61 	4.76, -2.75
1236    	-15.32, -15.70 	-35.76, 142.55 	4.76, -2.75
1251    	-15.20, -15.80 	-35.79, 142.77 	4.76, -2.75
1323    	-14.11, -15.89 	-35.77, 142.81 	4.76, -2.75
1338    	-14.11, -15.90 	-35.74, 142.77 	4.76, -2.75
1353    	-14.07, -15.89 	-35.75, 142.82 	4.76, -2.75
1368    	-14.07, -15.85 	-35.75, 142.86 	4.76, -2.75
1383    	-14.02, -15.85 	38.53, 600.24 	4.76, -2.75
1464    	-13.54, -16.16 	-35.82, 142.79 	4.76, -2.75
1480    	-12.62, -16.07 	-35.80, 142.62 	4.76, -2.75
1496    	-12.50, -15.97 	-35.83, 142.59 	4.76, -2.75
1512    	-12.44, -16.09 	-35.88, 142.56 	4.76, -2.75
1589    	-12.16, -15.65 	-35.90, 143.47 	4.76, -2.75
1604    	-12.13, -15.67 	-35.88, 142.96 	4.76, -2.75
1619    	-12.05, -15.81 	-35.87, 142.88 	4.76, -2.75
1634    	-12.02, -15.68 	-35.86, 143.43 	4.76, -2.75
1649    	-12.00, -15.81 	-35.88, 143.47 	4.76, -2.75
1729    	-11.02, -15.63 	-35.88, 142.75 	4.76, -2.75
1745    	-10.99, -15.69 	-35.85, 142.66 	4.76, -2.75
1761    	-10.90, -15.87 	-35.85, 142.88 	4.76, -2.75
1777    	-10.86, -15.80 	-35.84, 142.70 	4.76, -2.75
1855    	-10.52, -15.91 	-35.82, 142.42 	4.76, -2.75
1870    	-10.45, -15.85 	-35.85, 142.67 	4.76, -2.75
1885    	-10.38, -15.88 	-35.86, 142.71 	4.76, -2.75
1900    	-10.30, -15.68 	-35.88, 142.48 	4.76, -2.75
1915    	-10.27, -15.75 	-35.85, 142.43 	4.76, -2.75
1994    	-9.14, -15.78 	-35.79, 142.63 	4.76, -2.75
2010    	-9.10, -15.85 	-35.78, 142.38 	4.76, -2.75
2026    	-9.05, -15.74 	-35.83, 142.39 	4.76, -2.75
2042    	-8.96, -15.67 	-35.84, 142.80 	4.76, -2.75
2121    	-8.62, -15.64 	-35.75, 142.69 	4.76, -2.75
2136    	-7.72, -15.63 	-35.72, 142.78 	4.76, -2.75
2151    	-7.69, -15.74 	38.55, 600.26 	4.76, -2.75
2166    	-7.59, -15.67 	-35.70, 142.72 	4.76, -2.75
2181    	-7.48, -15.51 	-35.69, 142.55 	4.76, -2.75
2261    	-7.08, -15.67 	-35.66, 142.73 	4.76, -2.75
2277    	-7.06, -15.52 	-35.63, 142.66 	4.76, -2.75
2293    	-7.03, -15.49 	-35.63, 142.70 	4.76, -2.75
2309    	-6.96, -15.50 	38.57, 600.67 	4.76, -2.75
2387    	-5.91, -15.76 	-35.76, 142.89 	4.76, -2.75
2402    	-5.89, -15.69 	-35.78, 142.93 	4.76, -2.75
2417    	-5.85, -15.69 	-35.77, 143.00 	4.76, -2.75
2432    	-5.84, -15.67 	-35.76, 142.84 	4.76, -2.75
2447    	-5.80, -15.59 	-35.75, 142.80 	4.76, -2.75
2527    	-5.45, -15.82 	-35.78, 142.89 	4.76, -2.75
2543    	-5.38, -15.89 	-35.81, 142.61 	4.76, -2.75
2559    	-4.44, -15.97 	-35.82, 142.63 	4.76, -2.75
2575    	-4.38, -15.89 	-35.83, 142.75 	4.76, -2.75
2653    	-4.05, -15.66 	-35.87, 142.85 	4.76, -2.75
2668    	-4.00, -15.94 	39.52, 600.35 	4.76, -2.75
2683    	-3.89, -15.86 	-35.82, 143.19 	4.76, -2.75
2698    	-3.86, -15.87 	-35.78, 143.22 	4.76, -2.75
2713    	-3.77, -15.98 	-35.73, 142.65 	4.76, -2.75
2792    	-2.75, -16.09 	-35.75, 142.52 	4.76, -2.75
2808    	-2.68, -16.06 	-35.75, 142.53 	4.76, -2.75
2823    	-2.62, -16.03 	-35.77, 142.72 	4.76, -2.75
2839    	-2.60, -15.98 	-35.74, 142.66 	4.76, -2.75
2918    	-2.33, -15.94 	-35.63, 142.80 	4.76, -2.75
2933    	-2.29, -15.96 	-35.67, 142.81 	4.76, -2.75
2948    	-2.23, -15.96 	-35.66, 142.61 	4.76, -2.75
2963    	-2.14, -16.02 	-35.63, 142.86 	4.76, -2.75
2978    	-2.07, -16.00 	-35.66, 143.20 	4.76, -2.75
3058    	-0.97, -16.10 	-35.72, 142.95 	4.76, -2.75
3074    	-0.94, -16.11 	-35.70, 142.86 	4.76, -2.75
3089    	-0.90, -16.14 	-35.69, 142.81 	4.76, -2.75
3105    	-0.86, -16.26 	-35.68, 142.69 	4.76, -2.75
3184    	-0.62, -16.10 	-35.65, 142.83 	4.76, -2.75
3199    	-0.59, -16.09 	-35.65, 142.79 	4.76, -2.75
3214    	-0.56, -16.09 	-35.70, 142.96 	4.76, -2.75
3271    	0.44, -16.02 	-35.69, 143.27 	4.76, -2.75
3286    	0.49, -15.94 	-35.69, 143.35 	4.76, -2.75
3301    	0.51, -15.86 	39.93, 601.30 	4.76, -2.75
3317    	0.55, -15.98 	-35.68, 143.30 	4.76, -2.75
3332    	0.62, -16.02 	-35.65, 143.27 	4.76, -2.75
3412    	0.73, -15.93 	-35.72, 143.70 	4.76, -2.75
3428    	0.74, -15.83 	-35.69, 143.23 	4.76, -2.75
3443    	0.78, -16.03 	-35.72, 143.37 	4.76, -2.75
3459    	0.89, -16.16 	-35.69, 143.41 	4.76, -2.75
3538    	1.08, -16.35 	-35.68, 142.94 	4.76, -2.75
3553    	1.11, -16.18 	-35.68, 143.04 	4.76, -2.75
3568    	1.17, -16.31 	-35.64, 143.04 	4.76, -2.75
3583    	1.20, -16.23 	-35.65, 142.98 	4.76, -2.75
3598    	2.10, -16.11 	-35.61, 142.90 	4.76, -2.75
3678    	2.41, -16.16 	-35.59, 143.09 	4.76, -2.75
3694    	2.52, -16.26 	-35.60, 142.98 	4.76, -2.75
3710    	2.57, -16.23 	-35.62, 142.81 	4.76, -2.75
3725    	2.59, -16.18 	-35.64, 142.96 	4.76, -2.75
3803    	3.77, -16.37 	-35.56, 142.66 	4.76, -2.75
3819    	3.87, -16.20 	-35.50, 142.62 	4.76, -2.75
3834    	3.95, -16.20 	-35.52, 142.69 	4.76, -2.75
3849    	3.98, -16.27 	-35.49, 142.67 	4.76, -2.75
3864    	4.08, -16.23 	-35.53, 142.71 	4.76, -2.75
3944    	5.40, -16.37 	-35.63, 142.80 	4.76, -2.75
3960    	5.52, -16.33 	-35.62, 142.73 	4.76, -2.75
3975    	5.65, -16.30 	-35.62, 143.03 	4.76, -2.75
3991    	5.68, -16.46 	-35.62, 142.89 	4.76, -2.75
4069    	7.00, -16.31 	-35.55, 142.30 	4.76, -2.75
4084    	7.10, -16.47 	-35.54, 142.17 	4.76, -2.75
4099    	7.17, -16.50 	-35.50, 142.15 	4.76, -2.75
4114    	7.18, -16.38 	43.54, 601.81 	4.76, -2.75
4129    	7.23, -16.40 	-34.58, 141.79 	4.76, -2.75
4209    	7.63, -16.35 	-34.54, 143.44 	4.76, -2.75
4225    	7.72, -16.11 	-34.59, 142.79 	4.76, -2.75
4240    	8.63, -16.20 	-35.48, 142.93 	4.76, -2.75
4255    	8.66, -16.37 	46.55, 602.48 	4.76, -2.75
4333    	10.24, -16.38 	-34.60, 143.42 	4.76, -2.75
4348    	10.30, -16.45 	-34.64, 142.91 	4.76, -2.75
4363    	10.34, -16.39 	-34.53, 143.16 	4.76, -2.75
4378    	10.35, -16.25 	-34.46, 142.84 	4.76, -2.75
4393    	10.41, -16.31 	-34.47, 143.30 	4.76, -2.75
4473    	10.89, -16.56 	-34.25, 142.77 	4.76, -2.75
4489    	11.00, -16.64 	-34.23, 143.11 	4.76, -2.75
4504    	11.92, -16.54 	-34.29, 143.71 	4.76, -2.75
4520    	11.93, -16.43 	-34.41, 144.40 	4.76, -2.75
4599    	12.23, -16.33 	-34.51, 145.15 	4.76, -2.75
4614    	12.29, -16.48 	51.29, 605.17 	4.76, -2.75
4629    	12.43, -16.55 	-34.59, 143.82 	4.76, -2.75
4687    	13.61, -16.67 	51.14, 605.60 	4.76, -2.75
4702    	13.74, -16.54 	-34.57, 142.55 	4.76, -2.75
4717    	13.73, -16.50 	-34.51, 142.62 	4.76, -2.75
4732    	13.88, -16.49 	-34.38, 142.84 	4.76, -2.75
4747    	14.09, -16.57 	-34.51, 143.43 	4.76, -2.75
4828    	15.42, -16.53 	-34.43, 143.23 	4.76, -2.75
4847    	15.58, -16.67 	-34.52, 143.46 	4.76, -2.75
4865    	15.74, -16.55 	-34.47, 143.67 	4.76, -2.75
4884    	15.87, -16.48 	-34.51, 143.92 	4.76, -2.75
4904    	16.86, -16.77 	-34.55, 143.46 	4.76, -2.75
4985    	17.33, -16.48 	-34.53, 142.24 	4.76, -2.75
5004    	17.37, -16.42 	-34.55, 141.63 	4.76, -2.75
5023    	17.55, -16.57 	-34.51, 141.71 	4.76, -2.75
5043    	18.47, -16.62 	-34.51, 141.95 	4.76, -2.75
5062    	18.54, -16.45 	-34.48, 142.16 	4.76, -2.75
5082    	18.60, -16.59 	-34.44, 141.87 	4.76, -2.75
5162    	18.97, -16.97 	-34.47, 142.41 	4.76, -2.75
