#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	0.74, -15.80 	-35.75, 142.11 	4.76, -2.75
32      	0.75, -15.68 	-35.74, 142.15 	4.76, -2.75
48      	0.74, -15.72 	-35.73, 141.95 	4.76, -2.75
64      	0.75, -15.80 	-35.71, 142.12 	4.76, -2.75
80      	0.76, -15.80 	-35.70, 142.16 	4.76, -2.75
95      	0.76, -15.84 	39.93, 600.62 	4.76, -2.75
110     	0.75, -15.72 	-35.67, 142.19 	4.76, -2.75
193     	0.75, -15.76 	-35.67, 142.03 	4.76, -2.75
209     	0.73, -15.76 	-35.69, 142.10 	4.76, -2.75
225     	0.73, -15.72 	-35.70, 141.87 	4.76, -2.75
241     	0.72, -15.72 	-35.70, 141.87 	4.76, -2.75
318     	0.73, -15.72 	-35.67, 141.98 	4.76, -2.75
333     	0.73, -15.72 	-35.64, 141.74 	4.76, -2.75
348     	0.73, -15.72 	-35.64, 141.68 	4.76, -2.75
364     	0.74, -15.84 	-35.66, 141.95 	4.76, -2.75
379     	0.74, -15.84 	-35.63, 141.91 	4.76, -2.75
459     	0.75, -15.72 	-35.66, 141.71 	4.76, -2.75
475     	0.75, -15.72 	-35.65, 141.97 	4.76, -2.75
491     	0.74, -15.72 	-35.63, 141.81 	4.76, -2.75
507     	0.74, -15.80 	-35.60, 141.74 	4.76, -2.75
585     	0.73, -15.72 	-35.66, 141.77 	4.76, -2.75
600     	0.73, -15.72 	-35.65, 141.84 	4.76, -2.75
615     	0.74, -15.72 	-35.68, 141.85 	4.76, -2.75
631     	0.74, -15.72 	-35.68, 141.79 	4.76, -2.75
650     	0.72, -15.71 	-35.68, 141.78 	4.76, -2.75
726     	0.71, -15.79 	-35.65, 141.99 	4.76, -2.75
742     	0.71, -15.79 	39.97, 600.64 	4.76, -2.75
758     	0.72, -15.79 	-35.68, 141.73 	4.76, -2.75
774     	0.72, -15.79 	-35.67, 141.75 	4.76, -2.75
860     	0.75, -15.71 	-35.66, 141.91 	4.76, -2.75
876     	0.72, -15.64 	-35.66, 142.14 	4.76, -2.75
892     	0.73, -15.72 	-35.70, 142.11 	4.76, -2.75
908     	0.70, -15.73 	-35.70, 142.32 	4.76, -2.75
924     	0.68, -15.92 	-35.70, 142.07 	4.76, -2.75
1001    	0.47, -15.81 	-35.77, 142.40 	4.76, -2.75
1016    	0.48, -15.89 	-35.74, 142.40 	4.76, -2.75
1031    	-0.42, -15.97 	-35.73, 142.14 	4.76, -2.75
1089    	-0.63, -16.03 	-35.69, 142.21 	4.76, -2.75
1104    	-0.71, -15.95 	-35.72, 142.13 	4.76, -2.75
1119    	-0.82, -15.92 	-35.71, 142.17 	4.76, -2.75
1134    	-0.98, -16.15 	-35.71, 142.39 	4.76, -2.75
1149    	-1.10, -15.67 	-35.72, 142.39 	4.76, -2.75
1229    	-2.10, -15.56 	-35.66, 142.16 	4.76, -2.75
1245    	-2.14, -15.71 	-35.64, 142.18 	4.76, -2.75
1261    	-2.14, -15.72 	-35.66, 142.14 	4.76, -2.75
1277    	-2.19, -15.71 	-35.65, 142.01 	4.76, -2.75
