#Trial 	Target Position Movement Time Error Hit Hand
#================================================================
1     	-12.20, -0.55 	1118 	3.62 	1 	-1
2     	4.76, -2.75 	928 	3.88 	1 	-1
3     	4.76, -2.75 	1080 	1.95 	1 	1
4     	0.00, -10.91 	817 	2.28 	1 	1
5     	12.83, -6.55 	1131 	4.24 	1 	1
6     	15.25, 3.12 	1477 	3.33 	1 	1
7     	-11.34, -13.74 	1362 	4.16 	1 	1
8     	0.00, -10.91 	1210 	3.02 	1 	-1
9     	-9.15, -4.23 	1165 	3.08 	1 	-1
10    	4.28, -12.34 	1034 	3.56 	1 	-1
11    	3.17, -6.92 	850 	3.59 	1 	1
12    	-12.83, -6.55 	1540 	2.66 	1 	-1
13    	6.10, -7.90 	996 	1.71 	1 	-1
14    	0.00, 6.41 	1287 	2.64 	1 	1
15    	-6.35, 1.41 	11757 	3.92 	0 	1
16    	-4.76, -2.75 	11803 	12.75 	0 	-1
17    	-9.15, -4.23 	11830 	10.72 	0 	-1
18    	0.00, 2.08 	11767 	16.48 	0 	-1
19    	-12.20, -0.55 	10650 	1.55 	1 	-1
20    	-6.35, 1.41 	877 	3.38 	1 	-1
21    	12.83, -6.55 	1209 	3.43 	1 	-1
22    	-9.15, -4.23 	937 	1.70 	1 	-1
23    	-6.10, -7.90 	750 	3.16 	1 	-1
24    	1.59, -11.08 	735 	2.50 	1 	-1
25    	15.52, -9.55 	964 	4.08 	1 	1
26    	-7.93, 5.57 	1179 	1.84 	1 	-1
27    	-1.59, -11.08 	799 	2.59 	1 	-1
28    	-6.10, -7.90 	904 	1.65 	1 	-1
29    	9.52, 9.73 	1452 	3.35 	1 	1
30    	0.00, -6.58 	10956 	3.83 	1 	1
31    	7.93, 5.57 	8399 	3.29 	1 	1
32    	-4.76, -2.75 	7267 	3.17 	1 	1
33    	-6.10, -7.90 	993 	3.06 	1 	-1
34    	6.35, 1.41 	1772 	2.29 	1 	1
35    	21.39, -0.75 	1976 	3.35 	1 	1
36    	0.00, -6.58 	1297 	3.79 	1 	1
37    	-6.35, 1.41 	1498 	1.81 	1 	-1
38    	6.10, -7.90 	1227 	3.16 	1 	-1
39    	6.35, 1.41 	1253 	4.31 	1 	1
40    	-25.87, -5.75 	5478 	2.80 	1 	-1
#Trial 	Target Position Movement Time Error Hit Hand
#================================================================
1     	-12.20, -0.55 	11786 	47.28 	0 	-1
#Trial 	Target Position Movement Time Error Hit Hand
#================================================================
1     	-12.20, -0.55 	11748 	13.41 	0 	1
2     	4.76, -2.75 	11803 	19.65 	0 	1
3     	4.76, -2.75 	11780 	25.74 	0 	1
4     	0.00, -10.91 	11781 	19.96 	0 	1
#Trial 	Target Position Movement Time Error Hit Hand
#================================================================
1     	-12.20, -0.55 	11782 	34.48 	0 	1
2     	4.76, -2.75 	11744 	25.70 	0 	1
3     	4.76, -2.75 	11737 	19.45 	0 	1
4     	0.00, -10.91 	11775 	18.12 	0 	1
5     	12.83, -6.55 	11752 	12.79 	0 	1
6     	15.25, 3.12 	11781 	24.74 	0 	1
7     	-11.34, -13.74 	16 	3.57 	1 	1
8     	0.00, -10.91 	1534 	3.06 	1 	1
9     	-9.15, -4.23 	11766 	17.11 	0 	1
