#Time 	Sensor1         	Sensor2         	Target         
#================================================================

17      	-0.40, -15.71 	-1.68, -16.36 	21.39, -0.75
34      	-0.41, -15.70 	-1.66, -16.36 	21.39, -0.75
50      	-0.41, -15.66 	-1.67, -16.28 	21.39, -0.75
66      	-0.41, -15.57 	-1.69, -16.18 	21.39, -0.75
82      	-0.41, -15.49 	-1.70, -16.26 	21.39, -0.75
107     	-0.40, -15.56 	-1.70, -16.26 	21.39, -0.75
124     	-0.41, -15.62 	-1.69, -16.18 	21.39, -0.75
144     	-0.41, -15.62 	-1.69, -16.22 	21.39, -0.75
230     	-0.41, -15.66 	-1.70, -16.27 	21.39, -0.75
246     	-0.41, -15.58 	-1.69, -16.27 	21.39, -0.75
262     	-0.43, -15.58 	-1.70, -16.23 	21.39, -0.75
278     	-0.42, -15.62 	-1.70, -16.27 	21.39, -0.75
295     	-0.41, -15.74 	-1.68, -16.27 	21.39, -0.75
382     	-0.43, -15.54 	-1.69, -16.23 	21.39, -0.75
398     	-0.43, -15.62 	-1.70, -16.12 	21.39, -0.75
415     	-0.43, -15.70 	-1.71, -16.11 	21.39, -0.75
431     	-0.43, -15.70 	-1.71, -16.11 	21.39, -0.75
448     	-0.44, -15.70 	-1.71, -16.11 	21.39, -0.75
526     	-0.42, -15.74 	-1.71, -16.23 	21.39, -0.75
542     	-0.45, -15.62 	-1.71, -16.23 	21.39, -0.75
558     	-0.45, -15.62 	-1.73, -16.19 	21.39, -0.75
574     	-0.44, -15.70 	-1.73, -16.19 	21.39, -0.75
595     	-0.44, -15.78 	-1.73, -16.19 	21.39, -0.75
674     	-0.43, -15.66 	-1.70, -16.19 	21.39, -0.75
690     	-0.43, -15.66 	-1.71, -16.19 	21.39, -0.75
706     	-0.43, -15.74 	-1.71, -16.19 	21.39, -0.75
722     	-0.43, -15.78 	-1.71, -16.19 	21.39, -0.75
739     	-0.43, -15.66 	-1.71, -16.23 	21.39, -0.75
825     	-0.43, -15.70 	-1.71, -16.23 	21.39, -0.75
841     	-0.42, -15.74 	-1.71, -16.23 	21.39, -0.75
858     	-0.42, -15.74 	-1.71, -16.23 	21.39, -0.75
874     	-0.43, -15.58 	-1.71, -16.35 	21.39, -0.75
891     	-0.43, -15.70 	-1.71, -16.35 	21.39, -0.75
970     	-0.45, -15.78 	-1.72, -16.26 	21.39, -0.75
986     	-0.43, -15.77 	-1.72, -16.26 	21.39, -0.75
1002    	-0.45, -15.90 	-1.72, -16.26 	21.39, -0.75
1018    	-0.42, -15.73 	-1.72, -16.26 	21.39, -0.75
1035    	-0.47, -15.85 	-1.71, -16.23 	21.39, -0.75
1117    	-0.47, -15.65 	-1.72, -16.15 	21.39, -0.75
1133    	-0.46, -15.61 	-1.72, -16.15 	21.39, -0.75
1149    	-0.47, -15.68 	-1.71, -16.23 	21.39, -0.75
1165    	-0.48, -15.65 	-1.71, -16.19 	21.39, -0.75
1190    	-0.46, -15.62 	-1.71, -16.19 	21.39, -0.75
1210    	-0.46, -15.78 	-1.74, -16.19 	21.39, -0.75
1287    	-0.41, -15.53 	-1.72, -16.20 	21.39, -0.75
1304    	-0.37, -15.36 	-1.73, -16.16 	21.39, -0.75
1320    	-0.34, -15.51 	-1.71, -16.21 	21.39, -0.75
1341    	-0.28, -15.76 	-1.71, -16.25 	21.39, -0.75
1362    	-0.22, -15.79 	-1.71, -16.33 	21.39, -0.75
1448    	1.70, -13.93 	-1.66, -16.22 	21.39, -0.75
1464    	2.97, -13.24 	-1.67, -16.22 	21.39, -0.75
1481    	3.10, -13.14 	-1.68, -16.18 	21.39, -0.75
1497    	3.36, -12.85 	-1.69, -16.18 	21.39, -0.75
1514    	4.49, -12.31 	-1.67, -16.26 	21.39, -0.75
1600    	6.43, -10.48 	-1.66, -16.27 	21.39, -0.75
1616    	6.82, -10.51 	-1.66, -16.27 	21.39, -0.75
1633    	6.92, -10.30 	-1.64, -16.34 	21.39, -0.75
1649    	8.11, -9.34 	-1.65, -16.27 	21.39, -0.75
1665    	8.40, -9.20 	-1.65, -16.27 	21.39, -0.75
1681    	8.69, -8.39 	-1.64, -16.31 	21.39, -0.75
1763    	11.51, -6.84 	-1.63, -16.31 	21.39, -0.75
1780    	11.81, -6.59 	-1.63, -16.31 	21.39, -0.75
1796    	12.13, -5.97 	-1.63, -16.31 	21.39, -0.75
1812    	13.14, -5.95 	-1.63, -16.31 	21.39, -0.75
1828    	13.48, -5.64 	-1.63, -16.31 	21.39, -0.75
1910    	16.71, -3.84 	-1.61, -16.28 	21.39, -0.75
1927    	16.89, -3.76 	-1.61, -16.28 	21.39, -0.75
1943    	17.26, -3.72 	-1.62, -16.28 	21.39, -0.75
1960    	18.40, -3.40 	-1.61, -16.39 	21.39, -0.75
1976    	18.76, -2.84 	-1.61, -16.39 	21.39, -0.75
