#Time 	Sensor1         	Sensor2         	Target         
#================================================================

16      	7.96, 5.59 	-1.75, -16.22 	-4.76, -2.75
32      	7.96, 5.59 	-1.75, -16.22 	-4.76, -2.75
48      	7.96, 5.59 	-1.75, -16.22 	-4.76, -2.75
64      	7.95, 5.59 	-1.75, -16.13 	-4.76, -2.75
80      	7.95, 5.63 	-1.77, -16.10 	-4.76, -2.75
95      	7.95, 5.63 	-1.77, -16.10 	-4.76, -2.75
171     	7.95, 5.63 	-1.76, -15.93 	-4.76, -2.75
186     	7.95, 5.63 	-1.75, -16.05 	-4.76, -2.75
201     	7.95, 5.64 	-1.75, -16.05 	-4.76, -2.75
217     	7.95, 5.64 	-1.75, -16.05 	-4.76, -2.75
232     	7.95, 5.63 	-1.75, -16.05 	-4.76, -2.75
312     	7.95, 5.59 	-1.75, -15.93 	-4.76, -2.75
328     	7.95, 5.59 	-1.75, -15.97 	-4.76, -2.75
343     	7.95, 5.59 	-1.75, -15.94 	-4.76, -2.75
359     	7.95, 5.59 	-1.75, -16.05 	-4.76, -2.75
438     	7.95, 5.63 	-1.77, -16.05 	-4.76, -2.75
453     	7.95, 5.63 	-94.45, 353.31 	-4.76, -2.75
468     	7.95, 5.63 	-1.77, -16.01 	-4.76, -2.75
483     	7.95, 5.63 	-1.76, -15.97 	-4.76, -2.75
498     	7.95, 5.63 	-1.76, -16.09 	-4.76, -2.75
579     	7.95, 5.59 	-1.76, -16.17 	-4.76, -2.75
595     	7.95, 5.59 	-1.75, -16.17 	-4.76, -2.75
610     	7.95, 5.59 	-1.75, -16.17 	-4.76, -2.75
626     	7.95, 5.59 	-1.75, -16.17 	-4.76, -2.75
704     	7.95, 5.59 	-1.74, -16.05 	-4.76, -2.75
719     	7.95, 5.59 	-1.74, -16.05 	-4.76, -2.75
734     	7.95, 5.59 	-1.74, -16.05 	-4.76, -2.75
749     	7.95, 5.59 	-1.74, -16.05 	-4.76, -2.75
764     	7.95, 5.59 	-1.77, -16.05 	-4.76, -2.75
844     	7.96, 5.59 	-1.76, -16.08 	-4.76, -2.75
860     	7.95, 5.60 	-1.76, -16.08 	-4.76, -2.75
875     	7.95, 5.59 	-1.76, -16.08 	-4.76, -2.75
891     	7.95, 5.63 	-1.76, -16.13 	-4.76, -2.75
971     	7.95, 5.55 	-1.75, -16.29 	-4.76, -2.75
986     	7.95, 5.55 	-1.75, -16.21 	-4.76, -2.75
1001    	7.95, 5.59 	-1.75, -16.21 	-4.76, -2.75
1016    	7.95, 5.59 	-1.75, -16.21 	-4.76, -2.75
1089    	7.95, 5.59 	-1.77, -16.21 	-4.76, -2.75
1104    	7.95, 5.59 	-94.53, 352.69 	-4.76, -2.75
1119    	7.95, 5.59 	-1.77, -16.18 	-4.76, -2.75
1134    	7.95, 5.59 	-1.77, -16.18 	-4.76, -2.75
1149    	7.96, 5.63 	-1.77, -16.18 	-4.76, -2.75
1229    	7.95, 5.58 	-1.76, -16.29 	-4.76, -2.75
1245    	7.94, 5.60 	-1.76, -16.29 	-4.76, -2.75
1260    	7.92, 5.57 	-1.76, -16.29 	-4.76, -2.75
1276    	7.92, 5.46 	-94.50, 352.61 	-4.76, -2.75
1378    	7.32, 2.72 	-1.73, -16.24 	-4.76, -2.75
1394    	7.18, 2.32 	-1.74, -16.21 	-4.76, -2.75
1409    	7.06, 1.68 	-1.73, -16.24 	-4.76, -2.75
1425    	6.93, 1.25 	-1.73, -16.24 	-4.76, -2.75
1440    	5.92, -0.01 	-1.73, -16.24 	-4.76, -2.75
1456    	5.82, -0.21 	-1.74, -16.25 	-4.76, -2.75
1534    	5.07, -3.66 	-1.72, -16.25 	-4.76, -2.75
1549    	4.09, -4.10 	-94.48, 352.59 	-4.76, -2.75
1564    	3.89, -4.95 	-1.72, -16.13 	-4.76, -2.75
1579    	3.79, -5.89 	-1.72, -16.25 	-4.76, -2.75
1651    	3.13, -8.90 	-1.74, -16.13 	-4.76, -2.75
1666    	2.10, -10.18 	-1.74, -16.13 	-4.76, -2.75
1681    	2.04, -11.14 	-1.74, -16.13 	-4.76, -2.75
1696    	1.95, -11.79 	-1.74, -16.17 	-4.76, -2.75
1711    	1.76, -13.15 	-1.74, -16.17 	-4.76, -2.75
1791    	1.30, -15.83 	-1.74, -16.17 	-4.76, -2.75
1807    	1.14, -16.42 	-1.74, -16.17 	-4.76, -2.75
1822    	1.08, -16.56 	-1.74, -16.17 	-4.76, -2.75
1838    	1.00, -16.83 	-1.74, -16.06 	-4.76, -2.75
1917    	0.00, -17.36 	-1.75, -16.18 	-4.76, -2.75
1932    	0.01, -17.05 	-1.74, -16.22 	-4.76, -2.75
1947    	0.00, -17.05 	-1.74, -16.22 	-4.76, -2.75
1962    	-0.01, -17.01 	-1.74, -16.26 	-4.76, -2.75
1977    	-0.03, -16.96 	-1.74, -16.14 	-4.76, -2.75
2057    	-0.06, -16.89 	-94.42, 352.74 	-4.76, -2.75
2072    	-0.05, -16.89 	-1.73, -16.13 	-4.76, -2.75
2091    	-0.08, -16.97 	-1.72, -16.13 	-4.76, -2.75
2107    	-0.08, -16.84 	-1.74, -16.01 	-4.76, -2.75
2184    	-0.18, -16.83 	-1.74, -16.13 	-4.76, -2.75
2199    	-0.18, -16.78 	-1.74, -16.06 	-4.76, -2.75
2214    	-0.17, -16.78 	-1.75, -16.14 	-4.76, -2.75
2229    	-0.17, -16.75 	-1.75, -16.10 	-4.76, -2.75
2244    	-0.17, -16.63 	-1.74, -16.18 	-4.76, -2.75
2325    	-0.17, -16.65 	-1.75, -16.07 	-4.76, -2.75
2340    	-0.18, -16.70 	-1.75, -16.06 	-4.76, -2.75
2355    	-0.18, -16.69 	-1.73, -16.14 	-4.76, -2.75
2371    	-0.18, -16.69 	-1.73, -16.02 	-4.76, -2.75
2450    	-0.18, -16.78 	-1.73, -16.26 	-4.76, -2.75
2465    	-0.19, -16.66 	-1.73, -16.27 	-4.76, -2.75
2484    	-0.18, -16.70 	-1.73, -16.30 	-4.76, -2.75
2507    	-0.18, -16.66 	-1.73, -16.30 	-4.76, -2.75
2530    	-0.18, -16.66 	-1.74, -16.22 	-4.76, -2.75
2550    	-0.19, -16.53 	-1.73, -16.30 	-4.76, -2.75
2633    	-0.19, -16.58 	-1.74, -16.22 	-4.76, -2.75
2656    	-0.21, -16.58 	-1.73, -16.38 	-4.76, -2.75
2675    	-0.19, -16.58 	-1.73, -16.26 	-4.76, -2.75
2694    	-0.19, -16.62 	-1.73, -16.26 	-4.76, -2.75
2712    	-0.20, -16.66 	-1.73, -16.26 	-4.76, -2.75
2731    	-0.19, -16.54 	-1.73, -16.27 	-4.76, -2.75
2750    	-0.19, -16.58 	-1.73, -16.27 	-4.76, -2.75
2832    	-0.19, -16.69 	-1.73, -16.27 	-4.76, -2.75
2851    	-0.19, -16.58 	-1.72, -16.30 	-4.76, -2.75
2870    	-0.19, -16.57 	-1.73, -16.27 	-4.76, -2.75
2889    	-0.19, -16.65 	-1.73, -16.27 	-4.76, -2.75
2908    	-0.19, -16.65 	-1.71, -16.31 	-4.76, -2.75
2927    	-0.21, -16.58 	-1.73, -16.35 	-4.76, -2.75
3008    	-0.18, -16.69 	-1.72, -16.30 	-4.76, -2.75
