#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	0.55, -3.32, -9.35 	-18.68, -26.28, -5.97 	0.00, 10.00 	14,7,37,405		0.00,0.00	0,0 	0
0       	0.57, -3.33, -9.38 	-18.36, -26.31, -6.04 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.52, -3.39, -9.37 	-17.66, -26.33, -6.17 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.48, -3.42, -9.36 	-17.20, -26.37, -6.21 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.42, -3.44, -9.35 	-17.13, -26.53, -5.94 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.34, -3.47, -9.36 	-17.73, -26.69, -5.46 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.32, -3.46, -9.38 	-18.78, -26.68, -5.08 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.25, -3.46, -9.39 	-19.42, -26.49, -4.94 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.21, -3.45, -9.40 	-19.98, -26.25, -4.94 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.19, -3.43, -9.42 	-20.52, -26.11, -4.95 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	0.06, -3.38, -9.46 	-20.93, -25.96, -5.00 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	-0.21, -3.33, -9.51 	-20.73, -25.94, -5.16 	0.00, 10.00 	14,7,37,405		inf,inf	0,0 	0
0       	-0.79, -3.23, -9.61 	-20.57, -25.93, -5.28 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-1.62, -3.22, -9.68 	-20.54, -25.92, -5.33 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-2.62, -3.23, -9.78 	-20.49, -25.89, -5.33 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-3.43, -3.17, -9.86 	-20.53, -25.95, -5.30 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-3.82, -3.02, -9.98 	-20.54, -25.87, -5.35 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-3.89, -2.90, -10.09 	-20.67, -25.81, -5.32 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-3.94, -2.87, -10.14 	-20.69, -25.78, -5.35 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-3.97, -2.80, -10.18 	-20.86, -25.78, -5.31 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.01, -2.80, -10.19 	-20.91, -25.81, -5.33 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.02, -2.78, -10.18 	-20.88, -25.82, -5.37 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.04, -2.77, -10.19 	-20.95, -25.86, -5.33 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.15, -2.74, -10.16 	-20.81, -25.92, -5.35 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.25, -2.70, -10.12 	-20.83, -25.95, -5.32 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.40, -2.67, -10.11 	-20.81, -25.93, -5.33 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.51, -2.60, -10.09 	-20.88, -25.90, -5.33 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.65, -2.56, -10.06 	-20.93, -25.89, -5.36 	0.00, 10.00 	14,7,37,406		inf,inf	0,0 	0
0       	-4.78, -2.47, -10.06 	-21.16, -25.85, -5.37 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-4.83, -2.38, -10.04 	-21.23, -25.91, -5.38 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-4.92, -2.23, -10.00 	-21.23, -25.87, -5.37 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.04, -2.06, -9.90 	-21.20, -25.89, -5.36 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.23, -1.84, -9.76 	-21.17, -25.89, -5.31 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.38, -1.64, -9.58 	-21.16, -25.89, -5.24 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.62, -1.45, -9.42 	-21.19, -25.97, -5.14 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.81, -1.30, -9.30 	-21.13, -26.00, -5.09 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.83, -1.16, -9.22 	-21.00, -26.02, -5.08 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.78, -1.06, -9.17 	-21.07, -25.92, -5.13 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.80, -0.93, -9.15 	-21.28, -25.91, -5.17 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.69, -0.85, -9.11 	-21.67, -25.86, -5.22 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.57, -0.80, -9.05 	-21.87, -25.77, -5.20 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.55, -0.73, -8.97 	-21.99, -25.73, -5.23 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.45, -0.64, -8.88 	-21.91, -25.74, -5.23 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.40, -0.53, -8.77 	-21.65, -25.79, -5.23 	0.00, 10.00 	14,7,37,407		inf,inf	0,0 	0
0       	-5.38, -0.47, -8.68 	-21.48, -25.72, -5.25 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-5.31, -0.41, -8.60 	-21.14, -25.74, -5.29 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-5.22, -0.33, -8.53 	-21.02, -25.76, -5.32 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-5.22, -0.20, -8.49 	-21.03, -25.75, -5.30 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-5.20, -0.10, -8.43 	-21.02, -25.80, -5.31 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-5.07, -0.03, -8.37 	-21.13, -25.73, -5.26 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.94, 0.04, -8.35 	-21.22, -25.73, -5.26 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.79, 0.07, -8.32 	-21.40, -25.73, -5.23 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.65, 0.06, -8.25 	-21.41, -25.75, -5.24 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.58, 0.06, -8.18 	-21.33, -25.77, -5.25 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.54, 0.06, -8.08 	-21.33, -25.78, -5.26 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.57, 0.10, -8.01 	-21.20, -25.81, -5.32 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.57, 0.15, -7.92 	-21.15, -25.79, -5.35 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.62, 0.17, -7.87 	-21.12, -25.76, -5.35 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.61, 0.23, -7.85 	-21.02, -25.72, -5.33 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.54, 0.26, -7.81 	-21.13, -25.73, -5.32 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.47, 0.31, -7.74 	-21.16, -25.70, -5.33 	0.00, 10.00 	14,7,37,408		inf,inf	0,0 	0
0       	-4.38, 0.36, -7.68 	-21.19, -25.71, -5.35 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.26, 0.42, -7.61 	-21.19, -25.77, -5.34 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.14, 0.49, -7.55 	-21.15, -25.76, -5.37 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.03, 0.50, -7.50 	-21.06, -25.80, -5.39 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.02, 0.50, -7.46 	-20.98, -25.81, -5.42 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.06, 0.50, -7.45 	-20.96, -25.83, -5.37 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.06, 0.50, -7.46 	-20.96, -25.85, -5.38 	0.00, 10.00 	14,7,37,409		-nan,inf	0,0 	0
0       	-4.12, 0.51, -7.46 	-20.86, -25.83, -5.33 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.11, 0.50, -7.47 	-20.78, -25.84, -5.34 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.12, 0.51, -7.49 	-20.85, -25.83, -5.32 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.11, 0.51, -7.50 	-20.83, -25.83, -5.33 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.07, 0.50, -7.50 	-20.92, -25.82, -5.33 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.07, 0.50, -7.50 	-20.90, -25.89, -5.34 	0.00, 10.00 	14,7,37,409		-nan,inf	0,0 	0
0       	-4.03, 0.50, -7.50 	-20.87, -25.91, -5.35 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
0       	-4.05, 0.51, -7.49 	-20.79, -25.94, -5.36 	0.00, 10.00 	14,7,37,409		inf,inf	0,0 	0
