#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-64.45, -13.52, 22.07 	-48.50, -9.96, -7.61 	0.00, 30.00 	14,37,49,468		0.00,0.00	0,0 	0
0       	-64.53, -13.56, 22.06 	-48.48, -9.96, -7.61 	0.00, 30.00 	14,37,49,468		inf,inf	0,0 	0
0       	-64.54, -13.66, 22.06 	-48.57, -9.91, -7.60 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.46, -13.78, 22.05 	-48.57, -9.91, -7.61 	0.00, 30.00 	14,37,49,469		inf,-nan	0,0 	0
0       	-64.38, -13.77, 22.06 	-48.57, -9.95, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.39, -13.70, 22.06 	-48.57, -9.93, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.41, -13.74, 22.07 	-48.59, -9.93, -7.60 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.40, -13.78, 22.07 	-48.48, -9.96, -7.60 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.46, -13.60, 22.09 	-48.50, -9.96, -7.60 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.54, -13.66, 22.06 	-48.50, -9.94, -7.60 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.60, -13.63, 22.05 	-48.55, -9.93, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.57, -13.70, 22.03 	-48.55, -9.93, -7.62 	0.00, 30.00 	14,37,49,469		inf,-nan	0,0 	0
0       	-64.53, -13.71, 22.04 	-48.55, -9.93, -7.60 	0.00, 30.00 	14,37,49,469		inf,-nan	0,0 	0
0       	-64.54, -13.64, 22.03 	-48.53, -9.93, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.49, -13.69, 22.06 	-48.50, -9.96, -7.62 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.50, -13.62, 22.06 	-48.52, -9.96, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.40, -13.65, 22.06 	-48.48, -9.96, -7.60 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.42, -13.65, 22.06 	-48.46, -9.94, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.39, -13.53, 22.06 	-48.51, -9.92, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.42, -13.46, 22.08 	-48.48, -9.96, -7.61 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.51, -13.24, 22.11 	-48.50, -9.94, -7.62 	0.00, 30.00 	14,37,49,469		inf,inf	0,0 	0
0       	-64.55, -13.19, 22.11 	-48.57, -9.93, -7.62 	0.00, 30.00 	14,37,49,470		inf,inf	0,0 	0
0       	-64.53, -13.20, 22.10 	-48.50, -9.96, -7.62 	0.00, 30.00 	14,37,49,470		inf,inf	0,0 	0
0       	-64.50, -13.32, 22.08 	-48.52, -9.94, -7.61 	0.00, 30.00 	14,37,49,470		inf,inf	0,0 	0
0       	-64.45, -13.37, 22.08 	-48.57, -9.95, -7.62 	0.00, 30.00 	14,37,49,470		inf,inf	0,0 	0
