#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	24.60, 0.56, -10.34 	16.80, 4.06, -10.31 	0.00, 30.00 	17,13,6,637		0.00,0.00	0,0 	0
0       	24.57, 0.59, -10.37 	16.60, 4.05, -10.38 	0.00, 30.00 	17,13,6,637		inf,inf	0,0 	0
0       	24.45, 0.60, -10.38 	16.55, 4.02, -10.43 	0.00, 30.00 	17,13,6,637		inf,inf	0,0 	0
0       	24.25, 0.61, -10.43 	16.43, 4.09, -10.53 	0.00, 30.00 	17,13,6,637		inf,inf	0,0 	0
0       	24.00, 0.63, -10.49 	16.31, 4.14, -10.65 	0.00, 30.00 	17,13,6,637		inf,inf	0,0 	0
0       	23.70, 0.67, -10.62 	16.19, 4.15, -10.74 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	23.51, 0.88, -10.80 	16.05, 4.09, -10.89 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	23.49, 1.38, -11.07 	15.84, 3.97, -11.06 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	23.69, 1.97, -11.33 	15.42, 3.90, -11.44 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	23.71, 2.18, -11.50 	15.25, 3.76, -11.82 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	23.02, 1.82, -11.57 	15.17, 3.49, -12.06 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	21.41, 1.14, -11.66 	14.89, 3.14, -12.28 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	20.34, 0.98, -11.84 	14.70, 3.01, -12.55 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	20.50, 1.43, -12.14 	14.80, 3.21, -12.85 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	20.69, 1.71, -12.39 	15.23, 3.45, -13.13 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	20.69, 1.74, -12.58 	15.37, 3.48, -13.33 	0.00, 30.00 	17,13,6,638		inf,inf	0,0 	0
0       	20.44, 1.53, -12.81 	14.82, 3.36, -13.52 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	19.74, 0.93, -13.05 	14.37, 3.10, -13.71 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	18.66, 0.36, -13.35 	13.79, 2.86, -13.92 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	18.04, 0.34, -13.63 	13.13, 2.53, -14.10 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	17.64, 0.24, -13.84 	11.93, 2.15, -14.19 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	17.07, -0.13, -14.00 	10.97, 1.83, -14.31 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	15.89, -0.62, -14.16 	10.38, 1.61, -14.48 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	14.08, -1.28, -14.25 	9.59, 1.40, -14.62 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	12.29, -2.20, -14.23 	8.40, 0.99, -14.84 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	11.10, -2.76, -14.33 	7.42, 0.68, -15.10 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	10.55, -2.63, -14.57 	6.78, 0.37, -15.35 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	10.40, -2.22, -14.88 	6.07, -0.01, -15.60 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	10.42, -2.26, -15.04 	5.03, -0.42, -15.77 	0.00, 30.00 	17,13,6,639		inf,inf	0,0 	0
0       	10.16, -2.54, -15.14 	3.64, -0.87, -15.86 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	9.24, -2.86, -15.18 	2.39, -1.39, -15.87 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	7.79, -3.39, -15.19 	1.47, -1.94, -15.96 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	6.55, -4.11, -15.22 	0.76, -2.27, -16.17 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	5.74, -4.46, -15.42 	0.33, -2.34, -16.44 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	5.40, -4.29, -15.69 	0.17, -2.21, -16.80 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	5.00, -4.25, -15.86 	-0.06, -2.28, -17.09 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	4.30, -4.57, -15.88 	-0.74, -2.74, -17.23 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	3.64, -4.87, -15.91 	-1.29, -3.33, -17.23 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	3.02, -4.96, -15.93 	-1.50, -3.61, -17.28 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	2.81, -5.01, -15.98 	-1.38, -3.50, -17.48 	0.00, 30.00 	17,13,6,640		inf,inf	0,0 	0
0       	2.51, -5.19, -15.98 	-1.18, -3.10, -17.82 	0.00, 30.00 	17,13,6,641		inf,inf	0,0 	0
0       	2.03, -5.37, -16.02 	-0.97, -2.93, -18.05 	0.00, 30.00 	17,13,6,641		inf,inf	0,0 	0
0       	1.21, -5.54, -16.08 	-1.16, -2.94, -18.18 	0.00, 30.00 	17,13,6,641		inf,inf	0,0 	0
0       	0.31, -5.93, -16.03 	-1.79, -3.18, -18.21 	0.00, 30.00 	17,13,6,641		inf,inf	0,0 	0
0       	-0.45, -6.36, -15.98 	-3.84, -4.08, -18.11 	0.00, 30.00 	17,13,6,641		inf,inf	0,0 	0
0       	-1.01, -6.74, -15.97 	-8.74, -6.97, -17.47 	0.00, 30.00 	17,13,6,641		inf,inf	0,0 	0
