#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-2.33, -13.49, -14.46 	29.79, -13.94, -14.76 	0.00, 30.00 	13,40,47,211		0.00,0.00	0,0 	0
0       	-3.02, -15.09, -13.96 	30.11, -13.88, -14.65 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	-3.22, -16.46, -13.64 	30.19, -13.90, -14.55 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	-1.88, -17.15, -13.54 	30.10, -13.82, -14.52 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	1.12, -16.92, -13.57 	29.86, -13.86, -14.38 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	4.05, -16.60, -13.60 	29.24, -14.38, -14.25 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	6.28, -16.76, -13.72 	28.13, -15.26, -14.02 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	7.28, -18.05, -13.51 	26.69, -16.28, -13.69 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	7.62, -19.77, -12.97 	25.66, -17.05, -13.40 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	7.94, -21.31, -12.56 	24.92, -17.92, -13.15 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	8.15, -23.77, -11.84 	24.66, -18.63, -12.92 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	8.31, -28.04, -10.25 	24.39, -19.40, -12.61 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	8.67, -28.84, -8.86 	24.20, -19.29, -12.40 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	8.45, -29.19, -8.24 	24.29, -18.61, -12.30 	0.00, 30.00 	13,40,47,211		inf,inf	0,0 	0
0       	8.69, -29.19, -8.17 	24.63, -17.66, -12.31 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	7.74, -28.98, -8.26 	25.03, -17.00, -12.26 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	5.64, -28.26, -7.89 	25.44, -16.62, -12.36 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	4.41, -28.02, -7.67 	26.11, -16.18, -12.59 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	5.52, -28.00, -8.13 	26.88, -15.65, -12.83 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	7.26, -27.97, -8.63 	27.85, -15.19, -12.94 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	8.15, -27.82, -8.65 	28.89, -14.66, -13.06 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	8.76, -27.59, -8.73 	29.56, -14.02, -13.23 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	9.21, -27.34, -8.77 	29.79, -13.74, -13.26 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	9.61, -27.06, -8.81 	29.50, -13.95, -13.22 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	10.13, -26.71, -8.90 	28.97, -14.35, -13.28 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	10.83, -26.23, -8.92 	28.74, -14.69, -13.39 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	11.88, -25.70, -9.00 	28.75, -14.73, -13.46 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	12.68, -25.28, -9.13 	28.90, -14.53, -13.55 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	12.61, -25.51, -9.20 	29.13, -14.50, -13.59 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	12.06, -25.94, -9.18 	29.17, -14.76, -13.58 	0.00, 30.00 	13,40,47,212		inf,inf	0,0 	0
0       	11.42, -26.13, -9.17 	29.15, -15.22, -13.59 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.84, -26.03, -9.17 	29.14, -15.50, -13.62 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.44, -25.68, -9.27 	29.21, -15.32, -13.77 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.57, -25.20, -9.45 	29.10, -15.01, -13.93 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.64, -24.91, -9.56 	29.17, -14.66, -14.03 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.77, -24.74, -9.66 	29.30, -14.34, -14.23 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.75, -24.85, -9.65 	29.75, -13.86, -14.31 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.77, -24.87, -9.67 	29.77, -13.78, -14.21 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	11.03, -24.64, -9.75 	29.47, -14.38, -13.87 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	11.06, -24.14, -10.00 	28.94, -15.69, -13.30 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	10.81, -23.82, -10.38 	28.80, -17.22, -12.66 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	11.03, -23.70, -10.96 	29.05, -18.72, -12.24 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	13.25, -22.33, -11.94 	29.42, -19.81, -12.19 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	15.43, -20.34, -12.76 	28.77, -20.65, -12.06 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	16.77, -19.84, -12.91 	26.50, -22.35, -11.46 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	16.92, -20.58, -12.63 	25.25, -23.52, -11.08 	0.00, 30.00 	13,40,47,213		inf,inf	0,0 	0
0       	16.52, -21.32, -12.33 	23.93, -24.42, -10.71 	0.00, 30.00 	13,40,47,214		inf,inf	0,0 	0
0       	16.13, -21.77, -12.16 	23.44, -24.08, -10.58 	0.00, 30.00 	13,40,47,214		inf,inf	0,0 	0
0       	15.86, -22.00, -12.08 	23.96, -21.30, -10.59 	0.00, 30.00 	13,40,47,214		inf,inf	0,0 	0
0       	15.65, -22.20, -12.00 	25.06, -18.03, -10.58 	0.00, 30.00 	13,40,47,214		inf,inf	0,0 	0
